contrast,t,p,p_adj,difference,d
North Macedonia - Turkey, -8.35,< .001,< .001,-1.82,-0.41
North Macedonia - United Kingdom, -9.99,< .001,< .001,-1.89,-0.41
North Macedonia - United States of America,-16.25,< .001,< .001,-2.76,-0.59
Peru - Poland, -0.03,0.98,0.98, 0.00, 0.00
Peru - Portugal, -1.37,0.17,0.20,-0.17,-0.04
Peru - Slovakia, -2.45,0.01,0.02,-0.38,-0.09
Peru - South Africa, -5.41,< .001,< .001,-0.78,-0.18
Peru - South Korea,  9.55,< .001,< .001, 1.54, 0.34
Peru - Spain, -1.41,0.16,0.19,-0.17,-0.04
Peru - Switzerland, -0.26,0.80,0.82,-0.04,-0.01
Peru - Taiwan,  8.77,< .001,< .001, 1.01, 0.25
Peru - Turkey, -1.98,0.05,0.06,-0.39,-0.09
Peru - United Kingdom, -2.79,< .001,0.01,-0.45,-0.10
Peru - United States of America, -9.53,< .001,< .001,-1.33,-0.29
Poland - Portugal, -1.64,0.10,0.12,-0.17,-0.04
Poland - Slovakia, -2.75,0.01,0.01,-0.38,-0.09
Poland - South Africa, -6.21,< .001,< .001,-0.78,-0.17
Poland - South Korea, 10.67,< .001,< .001, 1.54, 0.33
Poland - Spain, -1.71,0.09,0.11,-0.17,-0.04
Poland - Switzerland, -0.27,0.79,0.82,-0.04,-0.01
Poland - Taiwan, 11.20,< .001,< .001, 1.02, 0.25
Poland - Turkey, -2.12,0.04,0.05,-0.38,-0.09
Poland - United Kingdom, -3.09,< .001,< .001,-0.45,-0.10
Poland - United States of America,-11.08,< .001,< .001,-1.33,-0.28
Portugal - Slovakia, -1.31,0.19,0.22,-0.21,-0.05
Portugal - South Africa, -4.12,< .001,< .001,-0.61,-0.14
Portugal - South Korea, 10.42,< .001,< .001, 1.71, 0.38
Portugal - Spain,  0.00,1.00,1.00, 0.00, 0.00
Portugal - Switzerland,  0.80,0.42,0.46, 0.13, 0.03
Portugal - Taiwan,  9.90,< .001,< .001, 1.19, 0.30
Portugal - Turkey, -1.09,0.28,0.31,-0.22,-0.05
Portugal - United Kingdom, -1.70,0.09,0.11,-0.28,-0.06
Portugal - United States of America, -8.09,< .001,< .001,-1.16,-0.25
Slovakia - South Africa, -2.33,0.02,0.03,-0.40,-0.09
Slovakia - South Korea, 10.25,< .001,< .001, 1.92, 0.43
Slovakia - Spain,  1.33,0.18,0.22, 0.21, 0.05
Slovakia - Switzerland,  1.80,0.07,0.09, 0.34, 0.08
Slovakia - Taiwan,  9.30,< .001,< .001, 1.39, 0.35
Slovakia - Turkey, -0.04,0.96,0.97,-0.01, 0.00
Slovakia - United Kingdom, -0.39,0.69,0.73,-0.07,-0.02
Slovakia - United States of America, -5.63,< .001,< .001,-0.95,-0.21
South Africa - South Korea, 12.95,< .001,< .001, 2.32, 0.48
South Africa - Spain,  4.19,< .001,< .001, 0.61, 0.14
South Africa - Switzerland,  4.14,< .001,< .001, 0.74, 0.16
South Africa - Taiwan, 12.88,< .001,< .001, 1.79, 0.41
South Africa - Turkey,  1.86,0.06,0.08, 0.39, 0.08
South Africa - United Kingdom,  1.82,0.07,0.09, 0.33, 0.07
South Africa - United States of America, -3.44,< .001,< .001,-0.55,-0.11
South Korea - Spain,-10.56,< .001,< .001,-1.71,-0.38
South Korea - Switzerland, -8.23,< .001,< .001,-1.58,-0.34
South Korea - Taiwan, -3.35,< .001,< .001,-0.53,-0.12
South Korea - Turkey, -8.67,< .001,< .001,-1.93,-0.40
South Korea - United Kingdom,-10.29,< .001,< .001,-1.99,-0.41
South Korea - United States of America,-16.36,< .001,< .001,-2.87,-0.57
Spain - Switzerland,  0.81,0.42,0.46, 0.13, 0.03
Spain - Taiwan, 10.16,< .001,< .001, 1.19, 0.30
Spain - Turkey, -1.10,0.27,0.31,-0.22,-0.05
Spain - United Kingdom, -1.72,0.09,0.10,-0.28,-0.06
Spain - United States of America, -8.24,< .001,< .001,-1.16,-0.25
Switzerland - Taiwan,  6.77,< .001,< .001, 1.06, 0.25
Switzerland - Turkey, -1.56,0.12,0.14,-0.35,-0.08
Switzerland - United Kingdom, -2.13,0.03,0.04,-0.41,-0.09
Switzerland - United States of America, -7.38,< .001,< .001,-1.29,-0.27
Taiwan - Turkey, -7.30,< .001,< .001,-1.40,-0.33
Taiwan - United Kingdom, -9.30,< .001,< .001,-1.47,-0.33
Taiwan - United States of America,-17.42,< .001,< .001,-2.34,-0.52
Turkey - United Kingdom, -0.29,0.77,0.80,-0.06,-0.01
Turkey - United States of America, -4.54,< .001,< .001,-0.94,-0.20
United Kingdom - United States of America, -4.98,< .001,< .001,-0.88,-0.18
